ROUTE_ID,STOP_ID,ROUTE_NAME,STOP_NAME,OBJECTID,x,y
9032,14007624,Rototuna Circular,"Opp 554 Borman Rd, Hamilton",1316,1796923.2456,5823030.6221
4616,14007627,Rototuna,"267 Borman Rd, Hamilton (Learning Links)",1317,1799372.522,5822540.2086
4641,14007627,Flagstaff North,"267 Borman Rd, Hamilton (Learning Links)",1318,1799372.522,5822540.2086
9022,14007627,Flagstaff,"267 Borman Rd, Hamilton (Learning Links)",1319,1799372.522,5822540.2086
12858,14007628,Comet,"475 Te Rapa Rd, Hamilton",1320,1798087.0706,5818371.6915
12858,14007635,Comet,"245 Ulster St, Hamilton",1321,1799841.4967,5816483.3967
4606,14007637,Fairfield,"46 Casey Ave, Hamilton",1322,1800544.8939,5816988.4566
4606,14007661,Fairfield,"202 Clarkin Rd, Hamilton",1323,1800995.3735,5817873.5331
9032,14007671,Rototuna Circular,"Borman Rd, Hamilton (Te Ao Mārama School)",1324,1797453.0237,5822900.266
3771,14007679,Orbiter,"125 Whatawhata Rd, Hamilton",1325,1797206.3151,5814365.45
4638,14007679,Dinsdale,"125 Whatawhata Rd, Hamilton",1326,1797206.3151,5814365.45
4612,14007686,Claudelands,"38 Powells Rd, Hamilton",1327,1802894.1903,5817709.721
4606,14007688,Fairfield,"27 Snell Dr, Hamilton",1328,1802022.9864,5818415.5676
4610,14007693,University,"669 Grey St, Hamilton",1329,1801637.6228,5815735.9242
4620,14007711,Te Rapa,"9 Tōtara Dr, Hamilton",1330,1798092.3484,5819823.3231
4622,14007711,Pukete,"9 Tōtara Dr, Hamilton",1331,1798092.3484,5819823.3231
4620,14007725,Te Rapa,"136 Sandwich Rd, Hamilton",1332,1798623.7156,5819555.9343
4622,14007725,Pukete,"136 Sandwich Rd, Hamilton",1333,1798623.7156,5819555.9343
4620,14007735,Te Rapa,"253 Māeroa Rd, Hamilton",1334,1798874.928,5815958.1451
4622,14007738,Pukete,"40 Sandwich Rd, Hamilton",1335,1798869.3041,5819024.8216
15643,14007748,Bremworth / Templeview,"463 Kahikātea Dr, Hamilton",1336,1797605.4207,5813537.3207
19537,14007749,Meteor,"17 Lloyd Dr, Hamilton",1337,1796440.0808,5816941.2894
4606,14007752,Fairfield,"55 Snell Dr, Hamilton",1338,1801788.6019,5818304.7238
4656,14007759,Nawton,"Opp 127 Seddon Rd, Hamilton",1339,1799755.4129,5815940.9329
12858,14007760,Comet,"63 Dixon Rd, Hamilton",1340,1802235.171,5811371.8011
4638,14007762,Dinsdale,"105 Farnborough Dr, Hamilton",1341,1795555.0832,5816280.3906
19537,14007764,Meteor,"90 Massey St, Hamilton",1342,1798746.932,5815066.1883
4612,14007768,Claudelands,"29 Powells Rd, Hamilton",1343,1802854.7335,5817707.1397
4641,14007771,Flagstaff North,"Hare Puke Dr, Hamilton (Wetherby Rd)",1344,1797488.728,5822616.6685
3771,14007777,Orbiter,"23 Ruakura Rd, Hamilton (Vision College)",1345,1802615.9903,5816054.3381
3771,14007779,Orbiter,"116 Newcastle Rd, Hamilton",1346,1796844.467,5815228.9459
4638,14007779,Dinsdale,"116 Newcastle Rd, Hamilton",1347,1796844.467,5815228.9459
4608,14007796,Fitzroy,"17 Urlich Ave, Hamilton",1348,1801100.5655,5812069.8607
19537,14007806,Meteor,"57 Morrinsville Rd, Hamilton",1349,1805010.1826,5813936.8204
3720,14007806,Tamahere/Matangi,"57 Morrinsville Rd, Hamilton",1350,1805010.1826,5813936.8204
4618,14007806,Hamilton Gardens Uni,"57 Morrinsville Rd, Hamilton",1351,1805010.1826,5813936.8204
19537,14007815,Meteor,"66 Morris Rd, Hamilton",1352,1804707.9205,5814384.621
4618,14007816,Hamilton Gardens Uni,"87 Jellicoe Dr, Hamilton",1353,1801653.1058,5813653.1553
4618,14007833,Hamilton Gardens Uni,"21 Brookfield St, Hamilton",1354,1802071.2854,5813672.7614
3771,14007839,Orbiter,"1158 River Rd, Hamilton",1355,1798475.0214,5820802.4233
9032,14007839,Rototuna Circular,"1158 River Rd, Hamilton",1356,1798475.0214,5820802.4233
3771,14007845,Orbiter,"211 Peachgrove Rd, Hamilton",1357,1802130.228,5816754.6
4641,14007845,Flagstaff North,"211 Peachgrove Rd, Hamilton",1358,1802130.228,5816754.6
12858,14007849,Comet,"149 Ōhaupō Rd, Hamilton",1359,1800880.5037,5811939.1096
19537,14007853,Meteor,"81 Masters Ave, Hamilton",1360,1804576.832,5814452.951
