WKT,SA22019_V1_00,SA22019_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,LATITUDE,LONGITUDE,EASTING,NORTHING,Shape_X,Shape_Y
"POINT (1810285.22305 5542535.13045)",227500,Awahuri,124.43983021,124.43983021,-40.24124165743938,175.47211238042308,1810285.2230729947,5542535.13045,1810285.22305,5542535.13045
"POINT (1847861.07525 5562247.0191)",227600,Pohangina-Apiti,681.60445157,681.60445157,-40.05360192523515,175.90578181167055,1847861.0752499995,5562247.019076124,1847861.07525,5562247.0191
"POINT (1817659.5054 5546799.72195)",227700,Mount Taylor,3.19057412,3.19057412,-40.200974738446156,175.55727952277564,1817659.5053999997,5546799.721972699,1817659.5054,5546799.72195
"POINT (1803941.8638 5529789.3248)",227800,Taikorea,152.98037817,152.98037817,-40.35754044911912,175.40166412961466,1803941.8637999992,5529789.324788797,1803941.8638,5529789.3248
"POINT (1818425.78495 5546128.45185)",227900,Makino,1.71330528,1.71330528,-40.206817280178534,175.56650198722028,1818425.7849499998,5546128.451861443,1818425.78495,5546128.45185
"POINT (1816635.5982 5543938.55045)",228000,Sandon,4.47695398,4.47695398,-40.22699192643855,175.5462251675754,1816635.5982000008,5543938.550464936,1816635.5982,5543938.55045
"POINT (1819892.2888 5545938.36075)",228100,Kimbolton North,4.21844226,4.21844226,-40.20814494628898,175.5837818865471,1819892.2888000002,5545938.360724861,1819892.2888,5545938.36075
"POINT (1817728.9883 5544603.21825)",228200,Warwick,0.821351,0.821351,-40.22072627855011,175.558838979994,1817728.9882999996,5544603.218239529,1817728.9883,5544603.21825
"POINT (1818865.3493 5544847.369)",228300,Kimbolton West,1.16104554,1.16104554,-40.21823291310625,175.57209810233863,1818865.3493132032,5544847.369,1818865.3493,5544847.369
"POINT (1818713.613 5542903.46275)",228400,Feilding Central,6.65979493,6.65979493,-40.2357683716432,175.5709784384018,1818713.6129835092,5542903.46275,1818713.613,5542903.46275
"POINT (1819303.0824 5543920.63755)",228500,Kimbolton South,1.35407415,1.35407415,-40.226459402499266,175.57755370499768,1819303.0823999997,5543920.637564472,1819303.0824,5543920.63755
"POINT (1814203.98825 5530655.80235)",228600,Kauwhata,154.43114124,154.43114124,-40.347169953725455,175.52211409971505,1814203.98825,5530655.802353433,1814203.98825,5530655.80235
"POINT (1828099.4087 5543121.28925)",228700,Taonui,165.77652307,165.77652307,-40.23130548667436,175.68111913389043,1828099.4086947856,5543121.28925,1828099.4087,5543121.28925
"POINT (1818117.842 5531451.9869)",228800,Newbury,34.67567534,34.67567534,-40.33899040933647,175.5678818300415,1818117.8419921957,5531451.9869,1818117.842,5531451.9869
"POINT (1822524.3489 5534514.256)",228900,Palmerston North Airport,7.53705383,7.53705383,-40.31026746679244,175.6186424501293,1822524.34889664,5534514.256,1822524.3489,5534514.256
"POINT (1821684.83645 5532507.6291)",229000,Milson North,0.96528171,0.96528171,-40.32855012611448,175.60946855649638,1821684.8364553084,5532507.6291000005,1821684.83645,5532507.6291
"POINT (1819597.72445 5530713.81225)",229100,Cloverlea (Palmerston North City),0.67606932,0.67606932,-40.34524606392475,175.58554140144952,1819597.72445,5530713.812270742,1819597.72445,5530713.81225
"POINT (1824709.73405 5531647.60975)",229200,Tremaine,4.40205417,4.40205417,-40.335481578059,175.64534155520906,1824709.7340300814,5531647.60975,1824709.73405,5531647.60975
"POINT (1821634.11625 5532019.6895)",229300,Milson South,1.22972877,1.22972877,-40.33295500923391,175.60904133234777,1821634.1162319588,5532019.6895,1821634.11625,5532019.6895
"POINT (1830075.51655 5533694.8343)",229400,Whakarongo,51.23452218,51.23452218,-40.3155968415756,175.70770606650225,1830075.516551482,5533694.8343,1830075.51655,5533694.8343
"POINT (1818788.123 5529589.0744)",229500,Westbrook,1.12911546,1.12911546,-40.35558147401453,175.57640375175296,1818788.123017727,5529589.0744,1818788.123,5529589.0744
"POINT (1820657.32835 5530214.72415)",229600,Takaro North,1.11967528,1.11967528,-40.349458382428836,175.59817751036482,1820657.328337689,5530214.72415,1820657.32835,5530214.72415
"POINT (1818023.9103 5527664.67295)",229700,Pioneer West,2.36382194,2.36382194,-40.37310146598316,175.56807075935865,1818023.9102749997,5527664.672924306,1818023.9103,5527664.67295
"POINT (1822094.77855 5531031.4587)",229800,Palmerston North Hospital,1.07372263,1.07372263,-40.34172656168343,175.61480238145197,1822094.7785431906,5531031.458699999,1822094.77855,5531031.4587
"POINT (1819596.88325 5528998.70785)",229900,Highbury East,1.16072094,1.16072094,-40.36068232364553,175.58612150981938,1819596.8832499995,5528998.7078614095,1819596.88325,5528998.70785
"POINT (1818858.3638 5528461.6446)",230000,Park West,0.92856836,0.92856836,-40.365710038393935,175.57761678564376,1818858.3638,5528461.644576451,1818858.3638,5528461.6446
"POINT (1820242.68815 5529266.5428)",230100,Takaro South,0.87652777,0.87652777,-40.35810155201443,175.59362713416863,1820242.6881500003,5529266.54282054,1820242.68815,5529266.5428
"POINT (1823258.70475 5531694.31405)",230200,Roslyn (Palmerston North City),1.15069645,1.15069645,-40.3354505204363,175.62826042321524,1823258.7047240937,5531694.31405,1823258.70475,5531694.31405
"POINT (1824640.0717 5532414.8036)",230300,Kelvin Grove West,0.78190158,0.78190158,-40.32859583321166,175.64425260854242,1824640.07170401,5532414.8036,1824640.0717,5532414.8036
"POINT (1826043.51035 5533071.7568)",230400,Kelvin Grove North,2.14179568,2.14179568,-40.32230485580644,175.6605234499709,1826043.5103700415,5533071.7568,1826043.51035,5533071.7568
"POINT (1822524.9231 5530450.26465)",230500,Papaioea North,0.80386644,0.80386644,-40.346842649487584,175.62006412616887,1822524.9231054587,5530450.26465,1822524.9231,5530450.26465
"POINT (1821416.65625 5529525.3736)",230600,Palmerston North Central,1.84381516,1.84381516,-40.35546134739277,175.60734872082483,1821416.656227096,5529525.3736000005,1821416.65625,5529525.3736
"POINT (1819794.78455 5527929.88595)",230700,Awapuni North,1.23350314,1.23350314,-40.37024961873851,175.5888181169742,1819794.7845701016,5527929.88595,1819794.78455,5527929.88595
"POINT (1823633.1863 5531006.44295)",230800,Terrace End,1.20279275,1.20279275,-40.34154096295442,175.6329053151174,1823633.1863172662,5531006.44295,1823633.1863,5531006.44295
"POINT (1818984.85675 5526373.93265)",230900,Maraetarata,2.44223476,2.44223476,-40.384466385004984,175.5798221084876,1818984.85675,5526373.932658336,1818984.85675,5526373.93265
"POINT (1822917.5947 5529837.86045)",231000,Papaioea South,0.60050727,0.60050727,-40.35224936463355,175.62489676234998,1822917.594679748,5529837.86045,1822917.5947,5529837.86045
